"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Проверка данных в БД","2","0","Покупка в кредит","0"
"0","","0","Оплата по карте","1","0","Валидация формы","0"
"0","","0","Оплата по карте","1","0","Валидация срока действия","0"
"0","","0","Проверка данных в БД","2","0","Оплата по карте","0"
"0","","0","Покупка в кредит","1","0","Успешная оплата","0"
"0","","0","Оплата по карте","1","0","Успешная оплата","0"
"0","","1","Покупка в кредит","0","0","Баг: Некорректная ошибка при будущей дате","0"
"0","","1","Оплата по карте","0","0","Баг: Некорректная ошибка при будущей дате","0"
"0","","0","Покупка в кредит","1","0","Валидация срока действия","0"
"0","","0","Покупка в кредит","1","0","Валидация формы","0"
