"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7215","После успешной покупки в кредит создаётся запись в credit_request_entity со статусом APPROVED","tests","2025-12-16","passed","2025-12-16","","test_db","",""
"","9156","После успешной оплаты создаётся запись в payment_entity со статусом APPROVED","tests","2025-12-16","passed","2025-12-16","","test_db","",""
"","8575","Ошибка при отправке формы с пустыми полями (покупка по карте)","tests","2025-12-16","passed","2025-12-16","TestSuccessfulPurchase","test_ui","",""
"","11060","После неуспешной покупки в кредит создаётся запись в credit_request_entity со статусом DECLINED","tests","2025-12-16","passed","2025-12-16","","test_db","",""
"","7044","Ошибка 'Истёк срок действия карты' при вводе года 24 (покупка по карте)","tests","2025-12-16","passed","2025-12-16","TestSuccessfulPurchase","test_ui","",""
"","24232","Карта 4444 4444 4444 4442 должна вызывать ошибку, но вызывает успех (покупка по карте)","tests","2025-12-16","failed","2025-12-16","TestSuccessfulPurchase","test_ui","",""
"","7125","После неуспешной оплаты создаётся запись в payment_entity со статусом DECLINED","tests","2025-12-16","passed","2025-12-16","","test_db","",""
"","9840","Ошибка при отправке формы с пустыми полями (покупка в кредит)","tests","2025-12-16","passed","2025-12-16","TestSuccessfulPurchase","test_ui","",""
"","8760","Ожидается 'Истёк срок...', но получаем 'Неверно указан срок...' (11/25, покупка в кредит)","tests","2025-12-16","failed","2025-12-16","TestSuccessfulPurchase","test_ui","",""
"","21588","Успешная покупка по карте с корректными данными","tests","2025-12-16","passed","2025-12-16","TestSuccessfulPurchase","test_ui","",""
"","15058","Карта 4444 4444 4444 4442 должна вызывать ошибку, но вызывает успех (покупка в кредит)","tests","2025-12-16","failed","2025-12-16","TestSuccessfulPurchase","test_ui","",""
"","7975","Ошибка 'Истёк срок действия карты' при вводе года 24 (покупка в кредит)","tests","2025-12-16","passed","2025-12-16","TestSuccessfulPurchase","test_ui","",""
"","14399","Успешная покупка в кредит с корректными данными","tests","2025-12-16","passed","2025-12-16","TestSuccessfulPurchase","test_ui","",""
"","6830","Ожидается 'Истёк срок...', но получаем 'Неверно указан срок...' (11/25, покупка по карте)","tests","2025-12-16","failed","2025-12-16","TestSuccessfulPurchase","test_ui","",""
